Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0129802138796697,0.0243127481279135,0.0289181576077138,0,0,0,0.0944551427512308,0.000129607400367704,-3.38108959132247E-06,1.50360291317691E-06,0.000146583546079235,-2.77200835499892E-05,0.000192218344593774,0,0,0,0,0,0,package://complete_assembly/meshes/base_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://complete_assembly/meshes/base_link.STL,,fixed_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotating_base,-0.00592247502043064,0.0369989054973399,-0.008610741384259,0,0,0,0.118965747141112,0.000137428674248604,2.00597768275405E-05,9.62092003343287E-07,9.19029121679542E-05,1.09449788916418E-05,0.000184694365181144,0,0,0,0,0,0,package://complete_assembly/meshes/rotating_base.STL,0.968627450980392,0.258823529411765,0.258823529411765,1,0,0,0,0,0,0,package://complete_assembly/meshes/rotating_base.STL,,base_link_new-1,Origin_rotating_base_joint,Axis_rotating_base_joint,rotating_base_joint,revolute,-0.013797,0.033788,0.0089131,-1.9291,0.30012,-2.4899,base_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
shoulder_link,-0.0673313145635475,0.21813535968334,0.111853239625793,0,0,0,0.173985115244841,0.000847032331262405,-0.000227505920297231,0.000494111089409406,0.0010760430522636,0.00030216030619619,0.000522529859893535,0,0,0,0,0,0,package://complete_assembly/meshes/shoulder_link.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://complete_assembly/meshes/shoulder_link.STL,,link1-2,Origin_shoulder_joint,Axis_shoulder_joint,shoulder_joint,revolute,-0.017,0.22164,0.2167,-1.5708,-0.61541,-1.5708,rotating_base,0.5764,-0.81528,0.055433,0,0,-1.57,1.57,,,,,,,,
elbow_link,-0.224948341447399,0.0939704413446246,0.304468825701596,0,0,0,0.0896278289449313,0.00032563289202508,-1.384766108933E-05,-2.38838198203847E-05,0.000265245099923205,-0.0001181537314633,7.32646502467508E-05,0,0,0,0,0,0,package://complete_assembly/meshes/elbow_link.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://complete_assembly/meshes/elbow_link.STL,,link2-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,revolute,0,0,0,0,0,-0.65176,shoulder_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
wrist_link,0.144427345867839,0.379684708821273,-0.411141084782155,0,0,0,0.0159127997785742,3.49059160540378E-06,-5.84063225464137E-07,-2.44540251664156E-07,2.78708891403875E-06,3.08233626726298E-07,4.88651565595818E-06,0,0,0,0,0,0,package://complete_assembly/meshes/wrist_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://complete_assembly/meshes/wrist_link.STL,,correct_link3-1,Origin_wrist_joint,,wrist_joint,revolute,0.19075,0.0003,0.0265,1.5708,0,1.5708,elbow_link,0,0,0,0,0,-3.14,3.14,,,,,,,,
gripper_base,-0.407995109891182,0.312641981416816,-0.345513140322174,0,0,0,0.0160521858256467,4.13044991085557E-06,1.0701983426944E-06,2.78136967611619E-06,8.4507454823034E-06,1.52558929340605E-07,6.99920883231513E-06,0,0,0,0,0,0,package://complete_assembly/meshes/gripper_base.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://complete_assembly/meshes/gripper_base.STL,,gripperAssembly-1/gripper_base_new-1,Origin_gripper_joint,Axis_gripper_joint,gripper_joint,revolute,0,0,0.0255,-0.38726,0,-1.5708,wrist_link,1,0,0,0,0,-1.57,-1.57,,,,,,,,
right_link,-0.332962436058194,0.44612284515542,-0.329173601922611,0,0,0,0.000819182765433027,9.3792042995556E-08,-3.05759849323923E-08,1.94524498960946E-08,4.61008566441095E-08,4.18179360008992E-08,8.10605014306751E-08,0,0,0,0,0,0,package://complete_assembly/meshes/right_link.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://complete_assembly/meshes/right_link.STL,,gripperAssembly-1/connecting_link-2,Origin_right_link_joint,Axis_right_link_joint,right_link_joint,revolute,-0.0023072,0,0,1.5708,-1.5609,0,gripper_base,0.0099189,-0.99995,0,0,0,-1.57,1.57,,,,,,,,
left_link,-0.305549703804964,0.45894977303837,-0.336310488753175,0,0,0,0.000819182765433028,9.38757877524573E-08,-2.90548340501812E-08,2.13172018296455E-08,5.16079573928365E-08,4.38644010658241E-08,7.54696559250472E-08,0,0,0,0,0,0,package://complete_assembly/meshes/left_link.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://complete_assembly/meshes/left_link.STL,,gripperAssembly-1/connecting_link-1,Origin_left_link_joint,Axis_left_link_joint,left_link_joint,revolute,-0.014826,0,0,-1.5708,-1.5001,3.1416,gripper_base,0.070603,0.9975,0,0,0,-1.57,1.57,,,,,,,,
right_gear,-0.33497283321336,0.426592386015752,-0.306741017899004,0,0,0,0.00645515105378562,9.01732848034526E-07,-2.66488165778915E-07,8.99296687939798E-08,6.18542915535291E-07,3.27419854643664E-07,8.46722623024002E-07,0,0,0,0,0,0,package://complete_assembly/meshes/right_gear.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://complete_assembly/meshes/right_gear.STL,,gripperAssembly-1/gear_link1-1,Origin_right_gear_joint,Axis_right_gear_joint,right_gear_joint,revolute,-0.0044299,0,0,2.3358,-1.5708,-0.76077,gripper_base,0,1,0,0,0,-1.57,1.57,,,,,,,,
right_finger,-0.114742853084653,-0.542875895250686,0.340145484722179,0,0,0,0.00252184868810478,5.59919292631201E-07,2.0629234114613E-07,-2.11634759540849E-07,4.83543308920071E-07,2.73850831570548E-07,4.49007958360881E-07,0,0,0,0,0,0,package://complete_assembly/meshes/right_finger.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://complete_assembly/meshes/right_finger.STL,,gripperAssembly-1/Gripper_link1-1,Origin_right_finger_joint,Axis_right_finger_joint,right_finger_joint,revolute,0,0.0043681,0,3.1416,0,0.40112,right_gear,0.39045,-0.92062,0,0,0,-1.57,1.57,,,,,,,,
